,age,Dalc,Walc,Medu,Fedu,studytime,G3,sex_F,sex_M,romantic_no,romantic_yes
524,16,2,2,2,3,3,13,0,1,0,1
525,15,2,2,3,4,3,12,1,0,0,1
526,18,1,3,2,1,2,8,1,0,0,1
527,17,1,2,2,1,1,11,1,0,1,0
528,15,1,2,1,1,1,13,1,0,0,1
529,17,1,3,2,2,1,12,1,0,0,1
530,16,1,4,3,4,1,14,1,0,1,0
531,16,1,1,2,1,1,11,0,1,1,0
532,16,1,1,2,2,1,11,1,0,1,0
533,15,1,1,3,4,2,11,0,1,0,1
534,15,1,1,4,4,3,15,1,0,0,1
535,17,2,4,3,4,2,10,0,1,1,0
536,16,1,1,1,1,2,13,1,0,1,0
537,18,4,5,3,1,1,12,0,1,0,1
538,18,5,1,3,2,3,11,1,0,0,1
539,16,1,2,1,1,1,11,1,0,0,1
540,16,1,1,3,3,1,10,1,0,0,1
541,16,1,3,1,1,2,10,0,1,0,1
542,15,1,1,4,4,1,14,1,0,1,0
543,15,1,1,1,1,1,9,1,0,0,1
544,15,1,1,4,3,4,11,0,1,1,0
545,15,2,3,3,3,2,9,1,0,0,1
546,16,1,3,4,4,3,13,0,1,1,0
547,16,2,2,2,2,1,11,0,1,1,0
548,15,1,1,4,4,3,13,1,0,1,0
549,16,3,3,1,1,1,11,1,0,1,0
550,17,1,2,2,1,1,6,0,1,1,0
551,15,1,2,1,1,2,12,1,0,1,0
552,15,1,1,2,1,1,10,1,0,0,1
553,15,1,1,3,2,2,11,1,0,1,0
554,15,1,1,1,2,2,13,1,0,1,0
555,15,2,4,1,2,2,11,1,0,0,1
556,16,2,1,4,4,1,8,0,1,0,1
557,15,2,5,2,1,1,11,0,1,1,0
558,18,2,5,1,1,1,0,0,1,0,1
559,16,3,5,2,1,1,10,0,1,0,1
560,15,2,3,3,3,3,13,1,0,0,1
561,19,1,1,3,2,1,11,0,1,0,1
562,17,1,1,4,4,1,13,1,0,0,1
563,15,1,1,2,3,2,8,0,1,1,0
564,17,3,3,1,2,1,10,0,1,1,0
565,18,1,5,1,1,1,11,1,0,1,0
566,16,1,2,2,2,1,11,0,1,1,0
567,16,4,4,3,3,2,1,0,1,0,1
568,16,3,5,1,2,1,10,0,1,1,0
569,17,2,2,2,1,1,9,0,1,0,1
570,17,1,4,3,2,2,8,0,1,0,1
571,15,2,4,1,2,1,10,0,1,1,0
572,16,1,4,1,3,1,8,0,1,1,0
573,17,1,5,1,1,2,8,0,1,0,1
574,17,1,1,3,2,1,8,0,1,1,0
575,16,2,4,2,2,2,11,0,1,1,0
576,16,1,1,4,2,2,18,1,0,0,1
577,16,1,1,2,2,2,13,1,0,1,0
578,16,1,1,4,4,2,17,1,0,0,1
579,16,2,4,3,4,1,10,0,1,1,0
580,16,1,1,1,0,2,18,0,1,0,1
581,17,1,3,4,4,2,10,0,1,1,0
582,16,1,1,1,3,2,13,1,0,0,1
583,16,1,1,3,3,2,15,1,0,1,0
584,17,4,4,4,3,2,11,0,1,1,0
585,16,1,4,2,2,2,14,1,0,1,0
586,17,1,4,3,3,2,10,0,1,1,0
587,16,3,4,4,2,1,11,0,1,0,1
588,17,1,1,4,3,2,13,0,1,0,1
589,16,2,3,4,3,2,11,0,1,1,0
590,16,1,2,3,3,2,13,0,1,0,1
591,17,2,3,2,4,2,17,1,0,1,0
592,17,2,3,3,3,2,14,1,0,0,1
593,16,1,2,3,2,2,16,1,0,1,0
594,17,2,3,3,3,2,14,0,1,0,1
595,16,1,2,1,2,1,11,0,1,0,1
596,16,1,2,2,1,2,16,0,1,0,1
597,17,1,3,3,3,2,14,1,0,0,1
598,17,1,5,1,2,2,10,0,1,1,0
599,16,1,1,2,3,2,13,1,0,1,0
600,17,1,1,1,1,2,12,1,0,1,0
601,17,4,5,1,2,2,12,0,1,1,0
602,16,3,4,3,3,1,10,0,1,1,0
603,16,1,1,2,3,1,12,0,1,1,0
604,17,1,1,2,4,2,16,1,0,0,1
605,17,1,2,4,4,1,14,0,1,1,0
606,16,3,5,3,3,1,12,0,1,1,0
607,17,2,3,4,4,1,16,1,0,1,0
608,16,1,2,4,4,2,11,1,0,1,0
609,16,1,5,4,3,2,15,1,0,1,0
610,16,1,3,2,3,2,12,1,0,1,0
611,17,1,3,1,1,2,15,1,0,1,0
612,17,1,2,2,2,1,13,1,0,1,0
613,16,1,1,2,2,4,13,1,0,1,0
614,17,3,4,3,4,3,8,1,0,0,1
615,16,2,2,3,1,2,12,1,0,1,0
616,16,1,1,4,3,2,15,1,0,0,1
617,16,1,4,1,1,1,13,1,0,1,0
618,17,1,1,4,3,3,12,1,0,0,1
619,19,1,2,3,3,4,12,1,0,1,0
620,17,4,5,4,4,2,12,0,1,0,1
621,16,1,1,2,2,2,13,1,0,1,0
622,18,2,4,2,2,2,11,0,1,1,0
623,17,1,2,4,4,1,11,1,0,1,0
624,17,1,3,3,2,2,15,1,0,1,0
625,17,2,4,4,3,2,10,1,0,0,1
626,18,2,4,3,3,2,10,0,1,1,0
627,17,1,4,2,3,1,13,1,0,1,0
628,17,1,1,2,2,3,13,1,0,1,0
629,17,1,2,2,1,2,11,1,0,1,0
630,17,1,1,1,1,3,12,1,0,0,1
631,16,1,1,2,3,2,14,1,0,1,0
632,18,5,5,2,2,2,10,0,1,1,0
633,16,1,1,4,4,3,16,1,0,1,0
634,18,1,1,3,1,2,8,1,0,0,1
635,17,1,3,3,2,2,17,1,0,1,0
636,17,1,3,2,3,2,11,0,1,1,0
637,18,4,5,2,1,2,11,0,1,0,1
638,17,1,2,2,1,3,16,1,0,0,1
639,17,1,2,4,3,2,12,1,0,0,1
640,17,1,1,2,2,2,13,0,1,1,0
641,17,1,3,4,4,2,13,0,1,0,1
642,16,2,4,4,4,2,14,0,1,1,0
643,16,1,1,1,1,2,9,0,1,1,0
644,16,1,3,3,2,3,12,0,1,0,1
645,17,5,5,2,2,2,16,0,1,0,1
646,16,1,1,2,1,1,10,1,0,0,1
647,16,1,2,4,1,2,13,1,0,0,1
648,18,1,1,2,4,2,10,1,0,1,0
649,18,1,1,2,2,2,10,1,0,0,1
650,18,1,1,3,3,1,7,1,0,1,0
651,18,2,2,2,2,1,8,0,1,0,1
652,17,1,2,4,4,1,9,0,1,1,0
653,17,1,1,3,2,2,15,1,0,1,0
654,17,1,2,1,1,3,10,1,0,0,1
655,16,1,2,1,2,1,11,1,0,1,0
656,17,1,1,2,1,2,13,1,0,1,0
657,17,1,1,1,4,1,8,1,0,1,0
658,18,3,5,2,2,2,8,0,1,1,0
659,17,1,1,2,2,1,10,1,0,1,0
660,17,1,3,1,1,3,15,1,0,1,0
661,17,1,1,4,2,2,14,1,0,1,0
662,17,1,4,4,3,2,15,0,1,0,1
663,17,2,3,4,4,2,12,0,1,1,0
664,16,1,1,4,3,1,15,0,1,1,0
665,16,1,2,4,4,1,15,0,1,1,0
666,17,1,4,4,4,2,12,1,0,0,1
667,17,1,1,1,1,3,15,0,1,0,1
668,17,2,3,3,3,3,11,1,0,0,1
669,17,1,1,1,1,2,10,1,0,0,1
670,18,1,1,2,1,3,11,1,0,0,1
671,16,1,1,2,1,1,16,0,1,1,0
672,17,1,2,1,1,2,11,1,0,1,0
673,17,1,1,2,3,1,13,0,1,1,0
674,22,5,5,3,1,1,5,0,1,0,1
675,18,1,3,3,3,2,10,0,1,0,1
676,16,2,4,0,2,1,11,0,1,1,0
677,18,2,4,3,2,1,7,0,1,1,0
678,16,1,3,3,3,2,10,0,1,1,0
679,18,2,5,2,1,1,6,0,1,1,0
680,16,1,3,2,1,1,12,0,1,1,0
681,17,2,4,2,1,1,13,0,1,1,0
682,17,1,2,1,1,1,10,0,1,1,0
683,18,1,3,2,1,2,13,1,0,0,1
684,17,1,1,4,2,4,17,1,0,1,0
685,19,1,1,2,2,2,11,1,0,1,0
686,18,4,4,2,1,2,11,0,1,1,0
687,17,1,3,4,2,3,14,1,0,1,0
688,18,2,3,1,1,3,14,1,0,1,0
689,18,1,1,2,2,2,13,1,0,1,0
690,19,1,1,4,3,2,14,0,1,1,0
691,18,1,2,2,1,2,16,0,1,1,0
692,17,1,1,2,2,1,10,0,1,1,0
693,17,1,1,2,2,4,12,1,0,0,1
694,20,1,2,2,1,2,12,1,0,0,1
695,18,1,3,4,3,2,15,1,0,0,1
696,18,1,1,4,3,2,11,0,1,1,0
697,18,1,1,3,2,3,12,0,1,1,0
698,17,1,1,3,3,3,13,1,0,1,0
699,18,1,1,2,2,3,13,1,0,0,1
700,17,2,3,2,2,1,9,0,1,1,0
701,18,3,4,3,4,2,16,0,1,1,0
702,17,3,4,3,1,2,14,0,1,0,1
703,18,2,2,4,4,2,12,1,0,1,0
704,18,1,3,4,2,2,14,0,1,0,1
705,18,1,2,2,1,2,10,1,0,0,1
706,19,3,3,3,3,2,12,1,0,1,0
707,18,1,3,2,3,4,16,1,0,0,1
708,18,1,1,1,1,2,13,1,0,1,0
709,17,2,2,1,2,2,18,0,1,0,1
710,18,1,2,2,1,2,15,1,0,0,1
711,17,1,1,2,4,2,16,1,0,0,1
712,17,2,3,2,2,2,12,1,0,0,1
713,18,1,1,3,2,2,10,1,0,0,1
714,18,1,4,4,4,1,12,0,1,1,0
715,18,1,1,4,4,2,13,1,0,0,1
716,17,1,1,2,2,3,15,1,0,0,1
717,19,4,3,3,2,2,10,1,0,1,0
718,18,1,2,4,3,1,10,0,1,1,0
719,18,2,4,1,2,1,11,0,1,1,0
720,17,2,4,4,1,1,10,0,1,0,1
721,17,3,4,3,2,1,13,0,1,1,0
722,18,1,1,1,1,4,18,1,0,1,0
723,18,1,1,1,1,2,13,1,0,1,0
724,17,1,2,2,2,2,14,1,0,1,0
725,18,1,1,2,1,2,14,1,0,0,1
726,17,1,2,1,1,2,12,0,1,1,0
727,18,1,2,2,2,3,18,1,0,1,0
728,17,1,1,1,1,3,14,1,0,1,0
729,18,1,3,2,1,3,15,0,1,1,0
730,18,1,1,4,4,2,17,0,1,1,0
731,18,1,4,4,2,2,16,0,1,0,1
732,17,1,2,4,3,3,18,1,0,1,0
733,17,1,1,3,1,4,19,1,0,1,0
734,18,1,1,3,2,3,15,0,1,1,0
735,17,1,3,3,3,1,15,0,1,1,0
736,19,2,3,4,4,2,13,1,0,1,0
737,18,1,2,4,3,2,14,1,0,0,1
738,18,1,1,4,3,4,17,1,0,1,0
739,18,2,2,4,4,1,17,0,1,0,1
740,18,1,1,4,4,2,15,1,0,0,1
741,17,2,2,4,4,1,13,0,1,1,0
742,17,1,1,4,4,3,8,1,0,1,0
743,17,1,1,4,2,3,16,1,0,1,0
744,17,1,2,3,2,4,18,1,0,1,0
745,19,1,1,2,1,3,11,0,1,0,1
746,20,1,1,3,2,1,15,0,1,1,0
747,19,1,2,3,3,2,11,0,1,0,1
748,18,1,2,1,4,2,11,1,0,0,1
749,18,1,2,2,1,2,15,1,0,1,0
750,17,1,1,2,3,2,14,1,0,0,1
751,17,1,1,4,4,1,17,1,0,1,0
752,18,1,1,4,3,3,17,1,0,0,1
753,18,1,4,4,3,1,15,1,0,1,0
754,17,2,5,3,4,3,17,1,0,1,0
755,18,1,1,3,3,2,14,1,0,1,0
756,19,1,1,4,2,2,10,0,1,0,1
757,18,3,3,4,4,2,13,1,0,1,0
758,18,1,1,3,4,1,14,1,0,0,1
759,17,1,2,4,4,1,17,1,0,1,0
760,17,1,2,4,3,2,17,1,0,0,1
761,17,1,1,3,3,2,13,1,0,1,0
762,17,2,2,2,1,2,14,1,0,1,0
763,18,3,4,4,4,1,11,0,1,1,0
764,19,4,3,1,1,3,11,1,0,0,1
765,19,1,1,1,1,2,9,1,0,0,1
766,18,2,4,2,2,1,10,1,0,0,1
767,17,1,1,2,2,2,13,1,0,0,1
768,17,2,2,2,2,3,10,1,0,1,0
769,17,2,3,3,1,3,17,1,0,1,0
770,17,2,3,0,2,3,15,1,0,1,0
771,18,1,2,1,1,3,14,1,0,1,0
772,18,2,2,4,4,3,13,0,1,1,0
773,17,3,5,3,3,1,17,0,1,1,0
774,17,5,5,2,2,1,10,0,1,1,0
775,17,1,3,4,4,3,13,1,0,1,0
776,17,1,2,4,4,3,15,1,0,0,1
777,17,2,5,3,3,1,11,1,0,1,0
778,18,2,4,2,2,4,12,0,1,1,0
779,19,2,2,3,2,1,10,0,1,0,1
780,18,1,1,2,2,2,10,1,0,0,1
781,17,1,1,2,4,3,15,1,0,0,1
782,18,1,2,2,2,1,15,0,1,1,0
783,18,1,1,3,3,2,12,1,0,1,0
784,18,1,1,2,2,2,12,1,0,0,1
785,18,1,1,2,2,4,14,1,0,1,0
786,17,1,3,3,4,3,14,1,0,1,0
787,17,2,3,3,2,2,15,1,0,0,1
788,18,1,1,3,3,4,15,1,0,1,0
789,17,2,3,3,2,2,16,1,0,1,0
790,18,2,2,4,4,2,13,0,1,1,0
791,18,1,3,3,4,2,17,0,1,0,1
792,17,1,2,2,2,2,14,1,0,0,1
793,18,1,2,2,3,3,14,1,0,1,0
794,18,2,3,3,2,3,17,1,0,0,1
795,18,1,2,4,3,3,17,0,1,0,1
796,18,2,3,4,3,3,14,0,1,0,1
797,17,1,3,4,3,3,13,1,0,0,1
798,17,2,2,2,1,2,15,1,0,0,1
799,17,2,4,2,1,2,16,1,0,1,0
800,19,3,4,2,3,1,11,1,0,1,0
801,17,1,1,3,1,1,13,1,0,0,1
802,21,1,1,4,4,3,12,1,0,1,0
803,18,1,3,2,2,2,12,0,1,1,0
804,18,1,4,3,4,2,15,0,1,0,1
805,17,1,3,2,2,2,17,1,0,1,0
806,17,1,2,4,4,3,15,0,1,1,0
807,18,1,1,4,2,2,17,1,0,1,0
808,21,5,2,1,1,2,10,0,1,0,1
809,20,1,3,1,1,3,15,1,0,0,1
810,19,4,4,4,4,1,11,1,0,0,1
811,17,1,2,3,2,2,18,0,1,1,0
812,18,1,2,3,2,3,17,1,0,0,1
813,18,4,5,2,3,1,14,0,1,1,0
814,19,1,4,2,1,1,11,0,1,1,0
815,18,1,3,2,2,2,17,1,0,1,0
816,20,1,1,1,0,1,10,1,0,0,1
817,18,1,2,3,2,2,13,1,0,0,1
818,16,1,3,1,3,1,11,1,0,0,1
819,16,1,1,2,2,2,12,1,0,1,0
820,15,1,1,1,1,1,10,1,0,0,1
821,15,2,3,3,3,1,11,1,0,1,0
822,16,1,2,2,3,2,17,1,0,1,0
823,15,1,1,2,1,1,9,1,0,1,0
824,16,1,3,4,4,2,11,0,1,1,0
825,16,1,1,1,2,3,11,0,1,1,0
826,17,1,2,3,2,2,10,1,0,0,1
827,17,2,2,1,1,1,7,1,0,1,0
828,15,3,5,4,4,1,14,1,0,0,1
829,16,1,1,2,2,4,11,1,0,0,1
830,15,1,2,1,1,2,10,1,0,1,0
831,15,1,2,1,1,1,8,1,0,0,1
832,16,1,2,0,2,1,12,1,0,1,0
833,17,1,3,2,3,1,12,1,0,1,0
834,15,1,1,3,3,1,16,1,0,1,0
835,16,4,5,1,1,2,0,0,1,0,1
836,17,2,4,1,1,2,9,0,1,1,0
837,15,1,2,4,1,2,14,0,1,1,0
838,15,1,2,4,1,2,8,0,1,1,0
839,16,1,2,3,4,2,11,0,1,1,0
840,15,2,4,1,1,2,9,0,1,0,1
841,15,1,1,3,3,2,11,0,1,1,0
842,17,5,5,2,1,1,9,0,1,0,1
843,16,1,1,4,4,3,17,1,0,0,1
844,15,1,1,1,2,1,13,1,0,1,0
845,16,1,2,2,3,2,15,1,0,1,0
846,16,1,1,1,2,2,11,0,1,1,0
847,16,1,1,2,2,2,11,1,0,1,0
848,16,1,2,1,2,3,8,1,0,1,0
849,16,1,2,1,2,3,8,1,0,1,0
850,15,3,3,2,1,2,9,1,0,1,0
851,16,2,1,1,1,2,15,1,0,0,1
852,17,5,5,1,2,1,11,0,1,1,0
853,16,1,1,1,1,4,13,1,0,1,0
854,16,1,1,1,1,3,10,1,0,1,0
855,15,1,1,1,1,2,11,1,0,1,0
856,16,4,3,1,1,1,14,1,0,0,1
857,15,1,2,1,1,2,14,1,0,1,0
858,15,2,2,2,2,3,12,1,0,1,0
859,16,3,4,1,1,1,11,0,1,1,0
860,18,2,3,1,2,2,8,1,0,0,1
861,15,1,3,3,1,1,11,0,1,1,0
862,16,1,1,2,2,2,14,1,0,1,0
863,15,1,2,2,2,1,13,0,1,1,0
864,16,1,1,4,4,2,13,0,1,0,1
865,15,1,1,3,3,2,12,1,0,0,1
866,16,2,3,2,2,2,12,1,0,1,0
867,16,1,1,2,2,1,16,1,0,0,1
868,16,2,3,2,1,1,10,0,1,1,0
869,15,3,5,1,3,1,11,0,1,1,0
870,15,1,1,2,2,3,14,1,0,1,0
871,16,1,1,2,1,1,8,1,0,0,1
872,15,2,4,3,3,1,11,0,1,1,0
873,16,1,1,1,1,2,8,1,0,1,0
874,17,1,1,2,2,1,10,1,0,1,0
875,19,1,1,2,3,1,10,1,0,0,1
876,17,1,1,2,1,1,11,1,0,0,1
877,15,1,3,1,1,1,9,1,0,0,1
878,16,1,2,2,2,2,11,1,0,1,0
879,16,1,2,2,2,1,8,1,0,1,0
880,17,1,2,2,2,2,11,1,0,1,0
881,16,1,4,2,2,1,10,1,0,1,0
882,18,1,1,3,2,3,10,1,0,0,1
883,19,1,1,1,1,3,9,1,0,0,1
884,18,3,4,1,1,1,10,0,1,1,0
885,18,1,1,1,1,1,10,1,0,0,1
886,19,4,1,1,1,2,9,1,0,0,1
887,16,1,1,2,2,2,10,1,0,0,1
888,17,3,5,0,1,1,10,1,0,1,0
889,16,1,3,1,2,2,9,1,0,1,0
890,16,1,1,3,3,1,13,1,0,0,1
891,16,2,2,1,1,1,14,1,0,0,1
892,17,3,4,3,3,4,10,0,1,1,0
893,16,1,1,2,1,2,14,1,0,1,0
894,16,1,2,2,2,1,16,1,0,0,1
895,17,5,5,1,2,1,7,0,1,0,1
896,16,1,5,4,3,1,13,0,1,1,0
897,17,3,5,2,2,4,9,0,1,1,0
898,16,1,1,1,1,4,14,1,0,1,0
899,19,1,1,2,2,3,13,1,0,0,1
900,17,1,2,1,1,1,11,1,0,0,1
901,20,2,4,3,3,2,10,1,0,0,1
902,17,1,1,1,1,3,10,1,0,0,1
903,17,1,2,2,2,1,9,0,1,1,0
904,16,1,1,1,1,2,18,1,0,1,0
905,17,1,1,2,2,2,17,1,0,1,0
906,17,1,1,1,0,2,10,1,0,0,1
907,18,1,1,1,1,2,7,1,0,0,1
908,16,1,3,3,1,1,8,1,0,1,0
909,16,1,4,3,2,1,7,1,0,1,0
910,18,1,4,1,1,2,10,1,0,1,0
911,16,2,3,4,4,2,16,1,0,0,1
912,16,1,4,1,2,1,15,1,0,1,0
913,18,1,3,2,4,2,8,1,0,1,0
914,16,1,1,2,1,2,0,0,1,1,0
915,16,1,3,1,1,2,8,1,0,1,0
916,16,1,1,2,3,2,10,1,0,1,0
917,16,1,2,4,4,2,8,1,0,0,1
918,18,5,5,4,4,4,6,0,1,0,1
919,16,1,1,3,4,2,8,1,0,1,0
920,17,1,2,4,4,3,16,0,1,1,0
921,17,1,2,4,1,1,14,1,0,0,1
922,16,2,2,2,2,3,10,0,1,1,0
923,17,1,2,2,2,1,9,1,0,1,0
924,16,1,2,4,4,1,11,1,0,1,0
925,17,5,5,3,3,1,9,0,1,1,0
926,17,3,3,1,1,2,10,0,1,0,1
927,16,1,4,2,1,2,8,0,1,0,1
928,16,1,1,2,1,2,16,1,0,0,1
929,16,2,5,4,4,1,12,0,1,1,0
930,15,1,3,1,2,2,10,0,1,1,0
931,15,2,3,2,2,4,14,0,1,1,0
932,15,1,2,2,1,1,12,0,1,1,0
933,16,2,2,2,2,3,11,1,0,0,1
934,16,2,2,4,1,2,10,1,0,1,0
935,17,2,2,3,2,1,11,1,0,0,1
936,17,1,1,2,2,2,11,1,0,1,0
937,16,1,4,4,4,3,12,1,0,0,1
938,17,1,3,4,4,1,8,0,1,0,1
939,17,3,3,1,3,1,12,0,1,0,1
940,17,3,4,3,4,2,8,0,1,0,1
941,17,1,1,4,4,2,16,1,0,1,0
942,16,2,1,4,1,1,11,0,1,1,0
943,17,1,2,1,1,2,11,1,0,0,1
944,17,2,3,4,2,2,18,1,0,1,0
945,16,2,2,2,2,2,13,0,1,0,1
946,17,2,2,3,2,2,13,0,1,1,0
947,19,3,4,1,1,2,10,0,1,1,0
948,17,1,1,1,0,1,12,0,1,0,1
949,17,2,2,1,1,1,10,1,0,0,1
950,16,1,1,1,2,3,13,1,0,0,1
951,16,2,4,1,2,1,11,0,1,1,0
952,17,1,1,3,1,2,10,1,0,0,1
953,17,3,5,2,2,1,10,0,1,0,1
954,18,1,1,1,0,1,13,0,1,1,0
955,17,1,3,1,1,1,10,0,1,0,1
956,18,1,4,1,1,2,10,0,1,1,0
957,16,1,1,2,2,2,12,1,0,0,1
958,17,2,3,2,2,1,0,0,1,0,1
959,16,2,3,3,2,1,10,0,1,1,0
960,16,2,4,1,1,1,9,0,1,1,0
961,18,2,3,1,1,1,9,0,1,0,1
962,18,2,2,3,2,1,0,0,1,1,0
963,19,1,1,3,2,1,9,0,1,1,0
964,18,1,3,3,3,2,8,0,1,1,0
965,16,2,4,2,2,1,8,0,1,0,1
966,19,1,3,2,1,1,9,0,1,0,1
967,16,1,1,3,2,2,7,1,0,0,1
968,17,1,2,1,1,1,10,1,0,1,0
969,20,2,4,1,1,1,10,0,1,0,1
970,18,3,4,4,3,1,10,1,0,1,0
971,18,5,5,3,2,1,11,0,1,1,0
972,19,3,3,1,1,2,11,0,1,1,0
973,17,2,3,3,3,2,10,0,1,1,0
974,18,2,3,1,3,1,9,0,1,0,1
975,19,3,3,1,1,1,10,0,1,1,0
976,18,1,1,1,2,2,8,1,0,1,0
977,19,1,1,1,1,1,7,1,0,1,0
978,18,1,1,2,2,1,0,1,0,0,1
979,17,1,1,0,0,1,11,1,0,1,0
980,17,2,2,3,1,3,8,1,0,1,0
981,17,1,3,4,2,2,0,1,0,1,0
982,18,1,2,2,2,2,8,1,0,1,0
983,17,1,1,4,1,1,9,1,0,0,1
984,17,1,1,1,2,1,10,1,0,1,0
985,18,2,2,1,1,2,7,1,0,0,1
986,18,1,1,2,2,2,14,1,0,1,0
987,17,1,1,3,3,1,13,1,0,1,0
988,18,1,2,1,2,2,14,1,0,1,0
989,18,1,2,4,4,2,18,1,0,1,0
990,18,1,1,4,4,1,17,0,1,1,0
991,17,1,2,4,2,2,18,1,0,1,0
992,18,1,1,2,2,2,0,1,0,0,1
993,18,5,5,1,2,1,11,0,1,1,0
994,18,1,1,4,4,1,14,0,1,0,1
995,17,3,4,1,1,1,14,0,1,1,0
996,18,1,1,2,2,2,10,1,0,0,1
997,18,1,4,2,2,3,13,1,0,0,1
998,18,1,1,4,2,2,0,1,0,0,1
999,18,1,2,1,1,2,10,1,0,1,0
1000,19,2,3,1,1,1,0,1,0,1,0
1001,17,3,1,4,2,4,18,1,0,0,1
1002,17,1,2,2,1,2,12,1,0,0,1
1003,18,1,2,1,1,2,11,1,0,0,1
1004,18,1,1,1,2,2,12,1,0,1,0
1005,19,1,4,1,1,2,0,1,0,0,1
1006,18,1,1,2,2,3,15,1,0,0,1
1007,17,1,3,4,3,2,11,0,1,0,1
1008,18,1,1,3,3,2,10,1,0,0,1
1009,17,1,2,4,4,2,12,1,0,1,0
1010,17,1,2,3,2,2,15,1,0,0,1
1011,18,1,2,1,1,1,14,0,1,0,1
1012,18,1,1,1,1,3,18,1,0,1,0
1013,18,1,4,1,2,2,15,1,0,0,1
1014,18,1,3,3,3,2,13,1,0,0,1
1015,17,1,1,4,4,2,15,1,0,0,1
1016,17,1,2,1,2,2,13,1,0,1,0
1017,18,2,4,1,3,2,9,0,1,1,0
1018,18,2,2,4,4,3,16,0,1,0,1
1019,17,1,2,1,1,1,9,1,0,0,1
1020,18,1,2,2,3,1,10,1,0,0,1
1021,18,4,2,4,4,2,0,1,0,0,1
1022,18,2,3,1,2,1,10,0,1,0,1
1023,17,1,1,2,2,3,12,1,0,0,1
1024,17,1,3,1,2,1,9,1,0,1,0
1025,18,1,1,4,4,3,17,1,0,1,0
1026,18,1,2,1,1,3,12,1,0,1,0
1027,19,1,1,1,1,2,9,1,0,0,1
1028,18,3,4,4,4,2,14,1,0,1,0
1029,18,1,2,3,3,2,16,1,0,0,1
1030,17,2,3,3,1,2,9,1,0,1,0
1031,18,1,4,4,4,2,19,0,1,1,0
1032,18,1,3,2,1,1,0,0,1,0,1
1033,17,1,1,2,3,2,16,0,1,1,0
1034,19,1,3,1,1,1,0,0,1,1,0
1035,18,4,3,4,2,1,0,0,1,1,0
1036,18,1,3,2,2,3,15,1,0,1,0
1037,17,1,1,4,3,2,11,1,0,1,0
1038,18,2,2,4,4,1,10,1,0,0,1
1039,19,1,2,2,3,3,10,1,0,1,0
1040,18,1,1,3,1,2,16,1,0,1,0
1041,18,1,1,1,1,2,9,1,0,1,0
1042,17,3,4,3,1,1,10,0,1,1,0
1043,18,3,4,3,2,1,11,0,1,1,0
